#OTU ID	GW1941	GW1942	GW1944	GW1945	GW1946	GW1947	GW1948	GW1952	GW1953	GW1954	GW1955	GW1957	GW1958	GW1959	GW1964	GW1967	GW1968	GW1969	GW1973	GW1979	GW1982
OTU_1054	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1055	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1056	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1057	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
OTU_1058	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1059	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_106	0	0	0	0	0	1	1	0	0	0	0	0	0	0	41	9	8	7	27	10	0
OTU_1060	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1061	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1062	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1063	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_1064	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1065	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1066	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1067	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1068	6	5	10	36	4	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1069	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_107	3	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
OTU_1070	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1071	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1072	1	0	0	1	7	0	0	0	2	1	3	1	1	0	6	5	0	0	1	1	8
OTU_1073	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
