dataset;X.OTU.ID;GW1941;GW1942;GW1943;GW1944;GW1945;GW1946;GW1947;GW1948;GW1949;GW1950;GW1951;GW1952;GW1953;GW1954;GW1955;GW1956;GW1957;GW1958;GW1959;GW1960;GW1961;GW1962;GW1963;GW1964;GW1965;GW1966;GW1967;GW1968;GW1969;GW1970;GW1971;GW1972;GW1973;GW1974;GW1975;GW1976;GW1977;GW1978;GW1979;GW1980;GW1981;GW1982;GW1983;GW1984
16s;OTU_119;0;1;0;0;0;0;0;0;3;8;1;0;0;0;0;0;0;0;0;0;0;0;27;74;11;15;72;39;46;31;14;3;31;17;4;14;11;14;63;2;7;0;0;0
16s;OTU_120;0;0;0;0;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16s;OTU_121;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_122;2;1;0;0;0;0;1;15;3;3;2;0;0;1;0;0;0;0;0;1;0;0;5;104;1;1;0;6;30;7;4;1;59;3;4;5;0;2;6;0;2;0;0;0
16s;OTU_123;0;3;2;2;1;0;0;2;3;1;0;0;0;1;0;0;2;3;2;0;3;2;0;29;0;1;102;11;6;0;1;3;20;1;4;1;0;3;4;5;1;6;0;1
16s;OTU_124;26;53;0;19;3;1;9;50;5;10;4;3;0;3;0;0;0;0;0;3;0;0;3;2;0;3;7;16;15;0;0;1;2;1;0;5;1;1;0;0;2;0;0;7
16s;OTU_125;0;0;0;0;0;0;0;1;29;24;4;0;0;0;0;0;1;0;0;2;0;0;1;8;3;4;0;2;6;5;1;2;0;3;1;4;7;3;2;0;3;0;1;0
16s;OTU_126;0;0;0;0;0;0;0;0;9;3;2;0;0;0;0;0;0;0;0;1;4;0;23;0;5;4;0;11;1;5;6;0;0;4;3;1;11;2;0;0;4;0;1;0
16s;OTU_127;8;21;0;3;4;0;11;14;2;7;2;4;0;0;1;0;0;0;0;0;0;0;2;50;3;2;66;17;12;2;3;4;9;5;2;1;0;0;7;0;0;0;2;0
16s;OTU_128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;0;1;0;0;1;0;0;0;40;0;0;0;0;0
16s;OTU_129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;12;3;8;3;0;9;7;12;2;5;40;7;13;7;1;3;4;0;0;0
16s;OTU_130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;9;0;0;5;0;2;13;0;1;1;23;2;4;0;0;0;1;0;0;0
16s;OTU_131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;2;4;1;0;2;1;2;0;1;2;0;3;16;1;1;2;1;0;0;0
16s;OTU_132;0;4;0;0;0;0;2;0;2;4;2;2;0;0;0;0;0;0;0;3;4;2;18;21;9;6;24;26;12;21;15;13;27;11;12;6;3;22;53;4;7;0;1;1
16s;OTU_133;1;14;0;13;1;0;1;2;21;11;9;2;0;0;0;0;1;0;0;0;1;0;8;10;14;5;21;7;3;3;10;0;9;6;6;5;7;3;3;0;2;0;3;0
16s;OTU_134;2;2;0;0;0;0;0;0;12;16;3;2;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
16s;OTU_135;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;17;5;15;71;21;5;13;1;2;10;3;11;1;7;0;0;5;0;0;0
16s;OTU_136;0;0;0;0;0;0;0;0;9;10;0;0;0;0;0;0;0;0;0;0;0;0;3;2;6;9;5;7;1;2;15;1;1;2;8;9;0;0;5;0;11;0;0;0
16s;OTU_137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;0;0;1;3;0;0;58;0;1;0;0;0;0;0;0;0;0;0
16s;OTU_138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;2;9;17;1;0;7;0;1;1;15;2;6;0;12;1;1;1;0;0
16s;OTU_139;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;1;0;0;0;0;15;1;0;0;0;0;0
16s;OTU_140;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;3;0;9;4;1;0;0;14;8;2;1;0;1;15;2;3;0;11;1;0
16s;OTU_141;84;47;0;71;2;23;24;22;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;17;0;0;13;5;2;0;0;0;2;0;0;0;0;0;10;0;0;0;1;1
16s;OTU_142;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2
16s;OTU_143;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_144;7;26;0;13;2;1;0;18;15;11;8;2;0;0;3;0;0;1;0;0;0;0;9;19;9;7;27;4;15;9;3;0;9;8;4;5;3;4;18;0;1;0;3;0
16s;OTU_145;2;2;0;1;1;0;1;3;17;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;3;4;3;2;2;1;3;7;0;2;3;4;5;0;1;0;0;0
16s;OTU_146;6;3;0;3;1;0;2;0;10;14;4;1;0;0;1;0;0;0;0;2;0;1;2;24;9;3;6;5;13;9;3;11;28;8;2;6;2;5;12;0;1;0;0;0
16s;OTU_147;6;1;0;0;0;1;0;1;5;27;6;1;0;0;0;0;0;0;0;4;4;0;1;0;0;0;3;0;0;3;0;0;0;2;0;0;0;1;1;1;1;0;4;0
16s;OTU_148;11;15;6;14;5;13;5;1;1;0;0;24;12;4;5;0;9;10;3;0;14;1;0;22;0;0;67;1;1;0;0;2;3;0;0;0;0;1;1;1;0;60;4;0
16s;OTU_149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;1;10;0;2;0;1;1;0;2;17;0;5;6;0;0;1;0;0;0
16s;OTU_150;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;7;3;15;0;4;0;5;1;0;0;1;4;2;0;1;5;0;0;0;0;0;0
16s;OTU_151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;65;2;0;88;1;2;4;0;11;6;3;0;0;0;1;22;2;0;0;0;0
16s;OTU_152;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;63;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
16s;OTU_153;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;13;7;41;20;8;1;1;2;16;5;2;6;8;20;0;6;0;0;0
16s;OTU_154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;0;2;0;0;0;12;0;0;2;15;0;2;0;0;0;0;0;0;0
16s;OTU_155;2;1;4;0;1;8;0;0;0;1;0;8;0;0;5;1;0;0;4;2;0;0;0;58;2;0;41;0;0;0;0;12;7;0;0;4;2;16;11;5;0;35;3;3
16s;OTU_156;7;5;0;9;12;0;38;16;0;0;0;0;0;0;0;0;0;0;0;7;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_157;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_158;0;0;0;0;0;0;0;0;8;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_159;15;19;0;4;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;5;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_160;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0
16s;OTU_161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;4;6;13;1;0;0;1;2;0;0;0;21;0;5;0;0;0
16s;OTU_162;45;6;0;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;1;0;1;4;18;12;2;6;14;6;17;1;7;6;19;4;2;0;9;11;0;2;0;0;0
16s;OTU_163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;2;5;6;1;1;10;5;2;1;19;10;12;2;5;2;0;13;0;0;0
16s;OTU_164;0;0;0;0;1;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;14;6;8;1;0;8;4;1;12;1;0;0;31;1;12;0;1;0;0;0;0;0
16s;OTU_165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;6;0;0;12;2;4;12;0;0;4;16;1;16;1;0;0;1;0;0;0
16s;OTU_166;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;2;0;0;1;0;1;0;1;0;0;0;13;2;0;0;0;0;0
16s;OTU_167;9;27;0;5;0;3;12;17;3;1;0;0;1;1;0;0;0;0;0;4;1;1;3;118;2;10;16;18;14;5;0;1;20;0;3;0;0;1;60;0;5;1;0;1
16s;OTU_168;1;3;0;1;1;0;5;2;24;22;10;1;0;1;0;0;0;0;0;11;1;0;4;0;9;5;8;11;5;2;3;0;1;7;10;8;1;4;0;2;1;0;3;0
16s;OTU_169;0;3;1;3;0;0;3;3;11;24;0;0;0;0;0;0;0;0;0;1;0;2;3;3;6;3;0;0;0;0;4;0;0;2;1;2;1;1;0;0;1;0;0;0
16s;OTU_170;64;49;0;44;5;13;21;22;0;0;0;0;0;0;0;1;0;0;0;16;1;13;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
