sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_946;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_947;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;;
OTU_948;Unclassified;;;;;;
OTU_949;Unclassified;;;;;;
OTU_950;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;EF100-94H03;;
OTU_951;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;
OTU_952;Unclassified;;;;;;
OTU_953;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_954;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
OTU_955;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_956;Unclassified;;;;;;
OTU_957;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_958;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_959;Unclassified;;;;;;
OTU_960;Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;;;
OTU_961;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;
OTU_962;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_963;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_964;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_965;Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;
OTU_966;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_967;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_968;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_969;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_970;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
OTU_971;Bacteria;Planctomycetota;OM190;;;;
OTU_972;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01;
OTU_973;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_974;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Kiloniella;
OTU_975;Unclassified;;;;;;
OTU_976;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Anderseniella;
OTU_977;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;;
OTU_978;Bacteria;NB1-j;;;;;
OTU_979;Bacteria;Desulfobacterota;uncultured;;;;
OTU_980;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;IheB2-23;
OTU_981;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Carboxylicivirga;
OTU_982;Unclassified;;;;;;
OTU_983;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1;
OTU_984;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
OTU_985;Unclassified;;;;;;
OTU_986;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_987;Unclassified;;;;;;
OTU_988;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_989;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
OTU_990;Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae;;
OTU_991;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_992;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_993;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;;
OTU_994;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;
OTU_995;Bacteria;Planctomycetota;OM190;;;;
OTU_996;Bacteria;Planctomycetota;vadinHA49;;;;
OTU_997;Unclassified;;;;;;
OTU_998;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Bauldia;
OTU_999;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
OTU_1000;Unclassified;;;;;;
OTU_1001;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_1002;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_1003;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_1004;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_1005;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_1006;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_1007;Bacteria;Planctomycetota;OM190;;;;
OTU_1008;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_1009;Unclassified;;;;;;
OTU_1010;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
OTU_1011;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_1012;Unclassified;;;;;;
OTU_1013;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_1014;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_1015;Unclassified;;;;;;
OTU_1016;Unclassified;;;;;;
OTU_1017;Unclassified;;;;;;
OTU_1018;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_1019;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_1020;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_1021;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
OTU_1022;Unclassified;;;;;;
OTU_1023;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;
OTU_1024;Bacteria;WPS-2;;;;;
OTU_1025;Unclassified;;;;;;
OTU_1026;Unclassified;;;;;;
OTU_1027;Bacteria;NB1-j;;;;;
OTU_1028;Bacteria;NB1-j;;;;;
OTU_1029;Unclassified;;;;;;
OTU_1030;Unclassified;;;;;;
OTU_1031;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
OTU_1032;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_1033;Unclassified;;;;;;
OTU_1034;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_1035;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_1036;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;;
OTU_1037;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;;
OTU_1038;Unclassified;;;;;;
OTU_1039;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Aestuariispira;
OTU_1040;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_1041;Bacteria;NB1-j;;;;;
OTU_1042;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;;
OTU_1043;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_1044;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_1045;Unclassified;;;;;;
OTU_1046;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_1047;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_1048;Unclassified;;;;;;
OTU_1049;Unclassified;;;;;;
OTU_1050;Unclassified;;;;;;
OTU_1051;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_1052;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_1053;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;;;
OTU_1054;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Photobacterium;
OTU_1055;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter;
OTU_1056;Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Arthrospira;PCC-7345
OTU_1057;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Oceanospirillaceae;Oceanospirillum;
OTU_1058;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_1059;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_1060;Unclassified;;;;;;
OTU_1061;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
OTU_1062;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
