sequence_identifier	Domain	Phylum	Class	Order	Family	Genus
OTU_646	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
OTU_647	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gimesiaceae	uncultured
OTU_648	Bacteria	Chloroflexi	KD4-96			
OTU_649	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
OTU_650	Unclassified					
OTU_651	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	
OTU_652	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_653	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	uncultured
OTU_654	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	BD2-7	
OTU_655	Unclassified					
OTU_656	Unclassified					
OTU_657	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_658	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_659	Unclassified					
OTU_660	Unclassified					
OTU_661	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella
OTU_662	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	uncultured
OTU_663	Unclassified					
OTU_664	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_665	Bacteria	Planctomycetes	vadinHA49			
OTU_666	Unclassified					
OTU_667	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_668	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_669	Unclassified					
OTU_670	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_671	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	
OTU_672	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	uncultured
OTU_673	Unclassified					
OTU_674	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_675	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Cohaesibacter
OTU_676	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured
OTU_677	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	
OTU_678	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	
OTU_679	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5) clade
OTU_680	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	
OTU_681	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
OTU_682	Unclassified					
OTU_683	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
OTU_684	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group
