sequence_identifier;Domain;Phylum;Class;Order;Family;Genus
OTU_1251;Unclassified;;;;;
OTU_1252;Bacteria;Planctomycetota;OM190;;;
OTU_1253;Unclassified;;;;;
OTU_1254;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_1255;Unclassified;;;;;
OTU_1256;Unclassified;;;;;
OTU_1257;Bacteria;Desulfobacterota;Desulfuromonadia;PB19;;
OTU_1258;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1259;Unclassified;;;;;
OTU_1260;Unclassified;;;;;
OTU_1261;Unclassified;;;;;
OTU_1262;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium
OTU_1263;Unclassified;;;;;
OTU_1264;Unclassified;;;;;
OTU_1265;Unclassified;;;;;
OTU_1266;Bacteria;Planctomycetota;Pla3 lineage;;;
OTU_1267;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1268;Unclassified;;;;;
OTU_1269;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;
OTU_1270;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes
OTU_1271;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured
OTU_1272;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1273;Unclassified;;;;;
OTU_1274;Unclassified;;;;;
OTU_1275;Unclassified;;;;;
OTU_1276;Unclassified;;;;;
OTU_1277;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum
OTU_1278;Bacteria;Latescibacterota;;;;
OTU_1279;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
OTU_1280;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;
OTU_1281;Bacteria;NB1-j;;;;
OTU_1282;Unclassified;;;;;
OTU_1283;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium
OTU_1284;Unclassified;;;;;
OTU_1285;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;
